"baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_id","SYMBOL","ENTREZID","GENENAME"
33.1676934411755,0.322654983124889,0.198832456075311,0.0812597546995852,0.129292888694006,"ENSG00000310526.1","WASH7P","653635","WASP family homolog 7, pseudogene"
26.9576201112543,0.624604295124194,0.262737862654981,0.00721898334049499,0.0166260774761005,"ENSG00000269981.1",NA,NA,NA
50.2818118696057,0.659025364690781,0.163426705188474,2.48677770472822e-05,0.000114200711687355,"ENSG00000310527.1","WASH9P","100996442","WAS protein family homolog 9, pseudogene"
14.9274656338472,1.29647894368248,0.366962405348674,5.67444292838955e-05,0.000239610033950425,"ENSG00000292994.2","LOC127239154","127239154","uncharacterized LOC127239154"
21.3598291924323,1.29626217809198,0.322887964820333,8.34209598284881e-06,4.24565881688157e-05,"ENSG00000290385.2",NA,NA,NA
104.02130005264,0.366146805964882,0.36419348938414,0.173542769145757,0.243423962433756,"ENSG00000225880.7",NA,NA,NA
21.5372556448374,0.00216353356487546,0.305613639172094,0.994432476706013,0.99585318678378,"ENSG00000225972.1","MTND1P23","100887749","MT-ND1 pseudogene 23"
1769.36923400885,0.256187212447987,0.291125735962269,0.283935360113244,0.367607017740437,"ENSG00000225630.1","MTND2P28","100652939","MT-ND2 pseudogene 28"
1010.95334928384,0.0599449532585791,0.301365993612092,0.810444582577723,0.852049761926034,"ENSG00000237973.1","MTCO1P12","107075141","MT-CO1 pseudogene 12"
27.2377576355437,-0.223047432739908,0.26016961868778,0.328257229834351,0.414107881321623,"ENSG00000229344.1","MTCO2P12","107075310","MT-CO2 pseudogene 12"
17277.7119547875,0.443380526047751,0.302932469625532,0.0690717718671868,0.11285821084593,"ENSG00000248527.1","MTATP6P1","106480796","MT-ATP6 pseudogene 1"
31.2395413603549,-0.106636940808963,0.226072946321161,0.603925354633518,0.677416104838334,"ENSG00000198744.5","MTCO3P12","107075270","MT-CO3 pseudogene 12"
12.3087626729928,0.198216278534762,0.500501093224694,0.362695419031364,0.448419131783257,"ENSG00000237491.11","LINC01409","105378580","long intergenic non-protein coding RNA 1409"
175.609143758479,-0.16845404191367,0.269974618885764,0.470351222389207,0.554659799683717,"ENSG00000228794.13","LINC01128","643837","long intergenic non-protein coding RNA 1128"
12.2420028283,0.168970987351851,0.346589243964868,0.535336567755289,0.615387641547097,"ENSG00000272438.2",NA,NA,NA
4815.26543309138,-1.48569211528889,0.131567227721836,9.45268276469933e-31,5.18753811083375e-29,"ENSG00000188976.13","NOC2L","26155","NOC2 like nucleolar associated transcriptional repressor"
180.43501836218,-0.211903155550648,0.210402765226094,0.266388138972697,0.348428455563865,"ENSG00000187961.17","KLHL17","339451","kelch like family member 17"
174.457121545579,-1.05241444223962,0.0982280472713381,1.96841675412747e-27,8.82411475738365e-26,"ENSG00000187583.13","PLEKHN1","84069","pleckstrin homology domain containing N1"
290.170175939151,-1.16761341137456,0.494600200539153,0.000756061390239816,0.00239163542541296,"ENSG00000188290.13","HES4","57801","hes family bHLH transcription factor 4"
1314.25232111726,-1.32629362821635,0.179001017369718,9.46378164747868e-15,1.54931158606893e-13,"ENSG00000187608.11","ISG15","9636","ISG15 ubiquitin like modifier"
17817.1535198256,-0.781876368810215,0.294895308960858,0.00154747269406525,0.0044455246675075,"ENSG00000188157.17","AGRN","375790","agrin"
84.3187451708648,0.140036469913575,0.353743442868714,0.585489385047582,0.661501341257144,"ENSG00000291156.2","LOC100288175","100288175","uncharacterized LOC100288175"
25.2361435373957,-1.0568926123028,0.362634837735127,0.000497413657823819,0.00166397092386439,"ENSG00000273443.2",NA,NA,NA
80.8884482888614,0.186034049746874,0.421203327919625,0.454509856411792,0.539070642649304,"ENSG00000237330.3","RNF223","401934","ring finger protein 223"
579.086795236016,-0.788575510337893,0.191373064776197,9.25788318412094e-06,4.6670747493406e-05,"ENSG00000131591.20","C1orf159","54991","chromosome 1 open reading frame 159"
